Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Region,Customer_Segment,Product_Category,Product_Container
High,21,2781.82,Express Air,-695.26,Nunavut,Corporate,Office Supplies,Large Box
High,35,3389.93,Express Air,737.94,Northwest Territories,Consumer,Furniture,Large Box
Not Specified,7,2039.56,Express Air,-329.49,Northwest Territories,Corporate,Office Supplies,Large Box
Low,6,905.94,Express Air,-4.19,Northwest Territories,Home Office,Furniture,Large Box
Medium,24,1168.15,Express Air,-743.96,Northwest Territories,Small Business,Office Supplies,Large Box
Not Specified,45,237.28,Express Air,-2088.68,Northwest Territories,Small Business,Office Supplies,Large Box
Critical,17,1368.14,Express Air,171.26,Northwest Territories,Home Office,Office Supplies,Large Box
Low,21,4429.69,Express Air,983.55,Atlantic,Small Business,Technology,Large Box
Not Specified,40,19109.61,Express Air,-379.29,West,Home Office,Technology,Large Box
Not Specified,17,2475.08,Express Air,958.8,West,Corporate,Furniture,Large Box
High,48,446.53,Express Air,-261.45,West,Corporate,Furniture,Large Box
Not Specified,27,2780.88,Express Air,595.38,West,Consumer,Furniture,Large Box
Critical,4,198.72,Express Air,-34.43,West,Consumer,Furniture,Large Box
Critical,15,4012.58,Express Air,-425.14,Atlantic,Consumer,Office Supplies,Large Box
Not Specified,21,2954.14,Express Air,-522.94,Ontario,Corporate,Office Supplies,Large Box
Not Specified,32,1974.66,Express Air,-929.68,Ontario,Small Business,Office Supplies,Large Box
Low,31,16066.85,Regular Air,7416.43,Northwest Territories,Consumer,Technology,Large Box
Not Specified,32,1282.49,Regular Air,154.74,West,Consumer,Furniture,Large Box
High,24,4636.62,Regular Air,-318.45,West,Consumer,Furniture,Large Box
Not Specified,7,497.2,Regular Air,-219.61,West,Consumer,Office Supplies,Large Box
Critical,8,27663.92,Regular Air,-391.92,West,Consumer,Technology,Large Box
Critical,37,2756.17,Regular Air,-1561.72,Atlantic,Consumer,Furniture,Large Box
Not Specified,16,1684.96,Regular Air,-553.06,Atlantic,Consumer,Office Supplies,Large Box
Medium,34,2788.04,Regular Air,-849.18,Atlantic,Consumer,Office Supplies,Large Box
Medium,9,89.55,Regular Air,-375.64,Nunavut,Corporate,Office Supplies,Large Box
Low,22,6396.2,Regular Air,1902.24,Nunavut,Corporate,Furniture,Large Box
High,44,10087.6,Regular Air,3387.35,Northwest Territories,Corporate,Furniture,Large Box
Low,15,1519.9,Regular Air,399.37,Northwest Territories,Corporate,Furniture,Large Box
Low,26,3758.77,Regular Air,753.61,Northwest Territories,Corporate,Furniture,Large Box
Medium,35,17387.65,Regular Air,6907.61,Northwest Territories,Corporate,Technology,Large Box
Medium,44,6040.22,Regular Air,-942.5,Northwest Territories,Corporate,Office Supplies,Large Box
Critical,4,97.57,Regular Air,-27.31,Northwest Territories,Corporate,Furniture,Large Box
Not Specified,19,12616.2,Regular Air,2808.22,Northwest Territories,Corporate,Technology,Large Box
High,41,8387.1,Regular Air,2113.95,Northwest Territories,Corporate,Furniture,Large Box
High,31,8901.78,Regular Air,2795.36,Northwest Territories,Corporate,Furniture,Large Box
Critical,44,5735.79,Regular Air,828.27,Northwest Territories,Corporate,Furniture,Large Box
High,1,305.82,Regular Air,-232.24,Atlantic,Corporate,Office Supplies,Large Box
Low,9,6420.87,Regular Air,-690.21,Atlantic,Corporate,Technology,Large Box
Not Specified,27,566.12,Regular Air,-19.33,Atlantic,Corporate,Furniture,Large Box
Critical,5,2543.95,Regular Air,-1011.32,Atlantic,Corporate,Technology,Large Box
High,24,1482.81,Regular Air,-678.63,Atlantic,Corporate,Office Supplies,Large Box
High,23,6693.28,Regular Air,40.32,Atlantic,Corporate,Furniture,Large Box
Critical,21,4242.76,Regular Air,340.88,Atlantic,Corporate,Technology,Large Box
High,1,3672.89,Regular Air,-3061.82,Atlantic,Corporate,Technology,Large Box
Not Specified,23,10791.38,Regular Air,-234.79,Atlantic,Corporate,Technology,Large Box
Low,38,23255.61,Regular Air,-734.33,Atlantic,Corporate,Technology,Large Box
High,4,62.45,Regular Air,-141.76,Atlantic,Corporate,Office Supplies,Large Box
High,5,66.43,Regular Air,-9.45,Atlantic,Corporate,Furniture,Large Box
High,10,1961.68,Regular Air,-367.0,Prarie,Corporate,Furniture,Large Box
Not Specified,43,858.53,Regular Air,-97.54,Prarie,Corporate,Furniture,Large Box
Critical,38,783.96,Regular Air,-1195.29,Prarie,Corporate,Office Supplies,Large Box
High,22,1132.54,Regular Air,-628.38,Prarie,Corporate,Office Supplies,Large Box
Medium,49,7002.08,Regular Air,-1640.51,West,Corporate,Furniture,Large Box
Critical,7,1874.37,Regular Air,67.84,West,Corporate,Furniture,Large Box
High,3,431.29,Regular Air,-164.59,West,Corporate,Furniture,Large Box
High,29,20872.16,Regular Air,-4437.91,West,Corporate,Technology,Large Box
Critical,32,9235.97,Regular Air,2848.17,West,Corporate,Office Supplies,Large Box
High,3,441.43,Regular Air,-154.45,West,Corporate,Furniture,Large Box
Not Specified,34,6607.92,Regular Air,1462.72,West,Corporate,Technology,Large Box
Low,1,195.04,Regular Air,-149.41,Atlantic,Corporate,Office Supplies,Large Box
Not Specified,31,2645.8,Regular Air,-684.78,Prarie,Corporate,Office Supplies,Large Box
Not Specified,6,90.75,Regular Air,-26.39,Ontario,Corporate,Furniture,Large Box
Medium,9,196.41,Regular Air,27.91,Ontario,Corporate,Furniture,Large Box
High,36,3722.29,Express Air,950.68,Northwest Territories,Home Office,Furniture,Medium Box
High,12,1323.67,Express Air,630.28,Northwest Territories,Corporate,Furniture,Medium Box
Critical,37,4896.93,Express Air,1467.82,Atlantic,Home Office,Furniture,Medium Box
Low,36,7783.36,Express Air,3506.24,Atlantic,Consumer,Office Supplies,Medium Box
Medium,32,2564.45,Express Air,650.73,West,Small Business,Office Supplies,Medium Box
Critical,35,1476.39,Express Air,-303.62,West,Home Office,Furniture,Medium Box
Low,32,2593.08,Express Air,-673.31,West,Consumer,Furniture,Medium Box
High,15,217.66,Express Air,-24.91,Atlantic,Corporate,Office Supplies,Medium Box
Medium,49,1981.26,Express Air,100.8,Prarie,Home Office,Furniture,Medium Box
Not Specified,24,1452.48,Express Air,376.52,Prarie,Small Business,Furniture,Medium Box
Not Specified,19,394.27,Regular Air,30.94,Nunavut,Consumer,Office Supplies,Medium Box
Medium,37,1003.06,Regular Air,271.78,Nunavut,Consumer,Office Supplies,Medium Box
Not Specified,9,64.0305,Regular Air,-58.34,Northwest Territories,Consumer,Technology,Medium Box
Not Specified,8,435.29,Regular Air,122.41,Atlantic,Consumer,Furniture,Medium Box
High,25,342.85,Regular Air,-32.42,Prarie,Consumer,Technology,Medium Box
Critical,39,1105.66,Regular Air,-136.2,West,Consumer,Office Supplies,Medium Box
Not Specified,17,224.09,Regular Air,-27.92,West,Consumer,Office Supplies,Medium Box
Medium,7,1120.27,Regular Air,16.81,West,Consumer,Technology,Medium Box
Not Specified,7,131.55,Regular Air,-43.74,Atlantic,Consumer,Technology,Medium Box
Critical,42,493.56,Regular Air,12.73,Atlantic,Consumer,Technology,Medium Box
Medium,6,9620.82,Regular Air,-1759.58,Nunavut,Corporate,Office Supplies,Medium Box
Low,25,3019.41,Regular Air,1269.05,Northwest Territories,Corporate,Technology,Medium Box
Critical,12,22079.47,Regular Air,5322.14,Northwest Territories,Corporate,Technology,Medium Box
Critical,8,234.28,Regular Air,-65.42,Northwest Territories,Corporate,Office Supplies,Medium Box
Medium,2,42.31,Regular Air,-53.08,Northwest Territories,Corporate,Technology,Medium Box
High,44,275.91,Regular Air,-162.37,Northwest Territories,Corporate,Technology,Medium Box
Low,37,5753.85,Regular Air,2509.52,Northwest Territories,Corporate,Technology,Medium Box
Medium,16,2631.107,Regular Air,297.11,Northwest Territories,Corporate,Technology,Medium Box
Critical,37,1601.24,Regular Air,520.69,Northwest Territories,Corporate,Office Supplies,Medium Box
High,8,1219.19,Regular Air,44.37,Northwest Territories,Corporate,Technology,Medium Box
Medium,1,104.85,Regular Air,-98.31,Northwest Territories,Corporate,Furniture,Medium Box
High,29,2754.93,Regular Air,-1.33,Northwest Territories,Corporate,Furniture,Medium Box
Not Specified,20,205.33,Regular Air,10.68,Northwest Territories,Corporate,Furniture,Medium Box
Not Specified,20,1583.06,Regular Air,328.0,Northwest Territories,Corporate,Office Supplies,Medium Box
High,47,1060.0605,Regular Air,-71.03,Northwest Territories,Corporate,Technology,Medium Box
Low,32,3245.73,Regular Air,569.57,Atlantic,Corporate,Furniture,Medium Box
Not Specified,42,3609.88,Regular Air,-1396.22,Atlantic,Corporate,Furniture,Medium Box
Low,38,952.47,Regular Air,270.69,Atlantic,Corporate,Technology,Medium Box
Medium,49,2470.84,Regular Air,25.04,Atlantic,Corporate,Furniture,Medium Box
Medium,35,1445.6,Regular Air,126.03,Atlantic,Corporate,Furniture,Medium Box
High,46,410.43,Regular Air,-54.58,Atlantic,Corporate,Technology,Medium Box
High,25,2674.18,Regular Air,631.99,Atlantic,Corporate,Furniture,Medium Box
High,50,5513.82,Regular Air,1581.93,Atlantic,Corporate,Furniture,Medium Box
Critical,16,225.46,Regular Air,-33.03,Prarie,Corporate,Technology,Medium Box
Low,27,1541.781,Regular Air,14.35,West,Corporate,Technology,Medium Box
Not Specified,29,531.063,Regular Air,24.56,West,Corporate,Technology,Medium Box
Medium,25,453.2455,Regular Air,3.31,West,Corporate,Technology,Medium Box
Not Specified,45,1090.6,Regular Air,300.91,West,Corporate,Technology,Medium Box
Low,32,4800.44,Regular Air,1912.92,West,Corporate,Technology,Medium Box
Low,28,697.5,Regular Air,169.89,West,Corporate,Technology,Medium Box
Not Specified,36,551.44,Regular Air,28.7,Atlantic,Corporate,Technology,Medium Box
Medium,37,5610.84,Regular Air,2366.51,Atlantic,Corporate,Technology,Medium Box
Critical,14,138.31,Regular Air,-31.16,West,Corporate,Furniture,Medium Box
Medium,45,12571.63,Regular Air,5455.96,Ontario,Corporate,Technology,Medium Box
Critical,42,642.1,Regular Air,41.56,Ontario,Corporate,Technology,Medium Box
Critical,9,106.05,Regular Air,-14.52,Ontario,Corporate,Office Supplies,Medium Box
High,6,112.4,Regular Air,-46.75,Ontario,Corporate,Technology,Medium Box
Not Specified,3,46.46,Regular Air,-25.13,Ontario,Corporate,Office Supplies,Medium Box
Not Specified,29,701.94,Regular Air,158.91,Ontario,Corporate,Technology,Medium Box
Critical,3,58.14,Regular Air,-96.25,Ontario,Corporate,Technology,Medium Box
Not Specified,1,21.45,Regular Air,-7.22,Ontario,Corporate,Office Supplies,Medium Box
Not Specified,13,59.03,Express Air,26.92,Nunavut,Consumer,Office Supplies,Small Box
High,3,49.59,Express Air,-8.38,Nunavut,Home Office,Office Supplies,Small Box
Low,18,130.32,Express Air,-67.28,Nunavut,Corporate,Office Supplies,Small Box
Low,40,436.17,Express Air,-141.27,Nunavut,Consumer,Office Supplies,Small Box
Critical,19,368.04,Express Air,70.39,Nunavut,Small Business,Office Supplies,Small Box
High,5,24.16,Express Air,8.05,Nunavut,Consumer,Office Supplies,Small Box
High,41,270.84,Express Air,-78.02,Northwest Territories,Consumer,Office Supplies,Small Box
Not Specified,5,101.21,Express Air,2.13,Northwest Territories,Home Office,Office Supplies,Small Box
High,34,1608.08,Express Air,-82.16,Northwest Territories,Corporate,Technology,Small Box
Not Specified,23,275.16,Express Air,43.35,Northwest Territories,Small Business,Office Supplies,Small Box
High,49,6175.777,Express Air,1881.58,Northwest Territories,Corporate,Technology,Small Box
Low,30,387.0,Express Air,-31.45,Northwest Territories,Home Office,Office Supplies,Small Box
High,2,30.83,Express Air,7.27,Northwest Territories,Corporate,Office Supplies,Small Box
Critical,22,440.92,Express Air,-65.18,Northwest Territories,Small Business,Furniture,Small Box
Not Specified,26,626.07,Express Air,185.32,Northwest Territories,Corporate,Office Supplies,Small Box
Not Specified,20,660.27,Express Air,63.83,Northwest Territories,Home Office,Office Supplies,Small Box
Critical,34,971.95,Express Air,-21.1,Northwest Territories,Small Business,Office Supplies,Small Box
Critical,28,456.91,Express Air,-328.18,Northwest Territories,Corporate,Office Supplies,Small Box
Low,4,40.72,Express Air,-10.25,Northwest Territories,Small Business,Office Supplies,Small Box
Not Specified,4,63.52,Express Air,-8.47,Northwest Territories,Corporate,Office Supplies,Small Box
Critical,13,438.93,Express Air,-119.02,Northwest Territories,Corporate,Technology,Small Box
Medium,10,550.61,Express Air,98.32,Northwest Territories,Small Business,Office Supplies,Small Box
Low,15,1062.959,Express Air,298.48,Northwest Territories,Consumer,Technology,Small Box
Not Specified,21,917.39,Express Air,393.41,Northwest Territories,Small Business,Office Supplies,Small Box
Critical,27,899.97,Express Air,-246.3,Northwest Territories,Consumer,Furniture,Small Box
Not Specified,1,17.89,Express Air,10.51,Northwest Territories,Corporate,Office Supplies,Small Box
High,43,701.46,Express Air,-90.14,Northwest Territories,Small Business,Technology,Small Box
Critical,28,168.57,Express Air,16.65,Northwest Territories,Corporate,Office Supplies,Small Box
Low,39,199.39,Express Air,101.13,Northwest Territories,Home Office,Office Supplies,Small Box
High,5,325.43,Express Air,-76.11,Atlantic,Corporate,Office Supplies,Small Box
Critical,20,963.3,Express Air,367.12,Atlantic,Small Business,Office Supplies,Small Box
Low,39,2083.0525,Express Air,354.96,Atlantic,Home Office,Technology,Small Box
Low,26,188.05,Express Air,-21.41,Atlantic,Corporate,Office Supplies,Small Box
Low,48,293.3,Express Air,-193.48,Atlantic,Corporate,Office Supplies,Small Box
Not Specified,10,309.3,Express Air,-77.89,Atlantic,Corporate,Technology,Small Box
High,15,896.1805,Express Air,82.04,Atlantic,Corporate,Technology,Small Box
High,46,2640.6865,Express Air,751.38,Atlantic,Corporate,Technology,Small Box
Low,6,2528.49,Express Air,580.15,Atlantic,Corporate,Office Supplies,Small Box
High,34,684.66,Express Air,35.09,Atlantic,Small Business,Furniture,Small Box
Medium,25,165.36,Express Air,-94.79,Atlantic,Small Business,Office Supplies,Small Box
Critical,19,7608.88,Express Air,3049.45,Atlantic,Home Office,Office Supplies,Small Box
Low,31,3229.66,Express Air,695.06,Atlantic,Small Business,Technology,Small Box
Low,24,4010.9375,Express Air,630.7,Atlantic,Small Business,Technology,Small Box
High,49,8223.07,Express Air,2549.4,Atlantic,Corporate,Technology,Small Box
High,29,374.67,Express Air,30.63,Prarie,Home Office,Office Supplies,Small Box
Critical,21,848.2,Express Air,163.78,Prarie,Corporate,Office Supplies,Small Box
High,29,5010.7415,Express Air,1196.37,West,Consumer,Technology,Small Box
Critical,27,384.9,Express Air,-108.28,West,Consumer,Office Supplies,Small Box
Medium,28,1350.34,Express Air,-517.17,West,Corporate,Office Supplies,Small Box
Critical,23,104.82,Express Air,6.84,West,Corporate,Office Supplies,Small Box
High,36,336.25,Express Air,25.95,West,Home Office,Office Supplies,Small Box
Low,31,4726.595,Express Air,1176.48,West,Corporate,Technology,Small Box
Critical,20,234.09,Express Air,-11.69,West,Corporate,Furniture,Small Box
High,46,7807.45,Express Air,1660.15,West,Home Office,Office Supplies,Small Box
Medium,48,1269.79,Express Air,-65.33,West,Consumer,Technology,Small Box
Low,21,1222.68,Express Air,300.97,West,Consumer,Office Supplies,Small Box
Low,26,390.2,Express Air,45.0,West,Consumer,Furniture,Small Box
High,6,49.55,Express Air,-20.33,West,Small Business,Office Supplies,Small Box
Medium,9,3800.4,Express Air,1234.57,West,Consumer,Office Supplies,Small Box
Medium,47,695.99,Express Air,-157.44,West,Home Office,Office Supplies,Small Box
High,42,939.77,Express Air,9.72,West,Small Business,Technology,Small Box
Medium,16,2232.66,Express Air,-521.09,West,Corporate,Technology,Small Box
Medium,42,1811.3,Express Air,520.41,West,Corporate,Office Supplies,Small Box
Not Specified,14,125.54,Express Air,-15.74,West,Home Office,Office Supplies,Small Box
Critical,45,2404.599,Express Air,496.89,West,Small Business,Technology,Small Box
Not Specified,1,65.7475,Express Air,-252.48,West,Corporate,Technology,Small Box
Low,17,118.36,Express Air,-60.65,West,Home Office,Office Supplies,Small Box
Critical,36,2051.016,Express Air,483.97,West,Small Business,Technology,Small Box
Critical,21,309.62,Express Air,-80.2,West,Corporate,Office Supplies,Small Box
Low,25,2529.396,Express Air,371.21,West,Consumer,Technology,Small Box
Low,23,1223.3795,Express Air,83.57,West,Corporate,Technology,Small Box
High,9,264.63,Express Air,-66.78,West,Home Office,Technology,Small Box
Critical,38,260.41,Express Air,-45.75,West,Corporate,Office Supplies,Small Box
High,30,201.35,Express Air,-107.37,West,Corporate,Office Supplies,Small Box
High,36,9544.18,Express Air,3392.88,West,Corporate,Technology,Small Box
Critical,14,633.08,Express Air,145.48,West,Corporate,Office Supplies,Small Box
High,5,217.85,Express Air,-25.31,West,Corporate,Office Supplies,Small Box
Critical,22,196.75,Express Air,0.13,West,Corporate,Furniture,Small Box
Low,34,2833.19,Express Air,1409.87,West,Home Office,Office Supplies,Small Box
Medium,18,986.24,Express Air,68.9,West,Corporate,Technology,Small Box
Not Specified,2,19.02,Express Air,10.73,West,Corporate,Furniture,Small Box
Medium,28,1546.3965,Express Air,226.72,West,Corporate,Technology,Small Box
Critical,4,103.9,Express Air,-19.26,Atlantic,Home Office,Furniture,Small Box
Not Specified,39,3401.8,Express Air,-508.87,Atlantic,Consumer,Office Supplies,Small Box
Critical,19,146.63,Express Air,-30.06,Atlantic,Consumer,Office Supplies,Small Box
Not Specified,26,258.11,Express Air,9.95,Atlantic,Consumer,Office Supplies,Small Box
Not Specified,9,1288.515,Express Air,-382.57,Atlantic,Consumer,Technology,Small Box
Medium,4,38.76,Express Air,-12.13,Atlantic,Corporate,Office Supplies,Small Box
Critical,18,360.24,Express Air,-36.24,Atlantic,Home Office,Technology,Small Box
Low,44,210.46,Express Air,50.04,Atlantic,Consumer,Office Supplies,Small Box
Critical,29,5159.3725,Express Air,1252.48,Atlantic,Consumer,Technology,Small Box
Medium,20,857.95,Express Air,51.85,Atlantic,Consumer,Technology,Small Box
High,7,127.74,Express Air,-5.57,Atlantic,Consumer,Technology,Small Box
Not Specified,42,7143.927,Express Air,2374.73,Atlantic,Home Office,Technology,Small Box
Critical,43,1751.68,Express Air,771.83,Atlantic,Corporate,Office Supplies,Small Box
Critical,7,381.1995,Express Air,-233.56,Atlantic,Corporate,Technology,Small Box
Not Specified,28,2752.0,Express Air,336.47,West,Corporate,Technology,Small Box
High,23,1314.64,Express Air,575.38,West,Consumer,Office Supplies,Small Box
Not Specified,46,2332.23,Express Air,1085.93,West,Home Office,Office Supplies,Small Box
Not Specified,39,1140.26,Express Air,387.2,Prarie,Corporate,Furniture,Small Box
Medium,8,55.59,Express Air,-17.95,Prarie,Small Business,Office Supplies,Small Box
Critical,12,2011.6355,Express Air,-53.69,Prarie,Corporate,Technology,Small Box
Not Specified,15,605.1,Express Air,92.81,Prarie,Home Office,Office Supplies,Small Box
Not Specified,14,438.47,Express Air,157.89,Prarie,Corporate,Office Supplies,Small Box
Not Specified,4,136.68,Express Air,-125.16,Prarie,Small Business,Technology,Small Box
Not Specified,19,3555.29,Express Air,183.28,Prarie,Small Business,Office Supplies,Small Box
High,15,76.94,Express Air,29.67,Prarie,Corporate,Office Supplies,Small Box
High,44,1642.642,Express Air,314.84,Prarie,Consumer,Technology,Small Box
Low,23,404.24,Express Air,-76.99,Ontario,Corporate,Office Supplies,Small Box
Low,32,1381.88,Express Air,598.2,Ontario,Corporate,Furniture,Small Box
Low,43,1307.35,Express Air,-154.24,Ontario,Home Office,Technology,Small Box
Low,3,523.58,Express Air,-179.36,Ontario,Home Office,Office Supplies,Small Box
Medium,21,7512.03,Express Air,2017.64,Ontario,Corporate,Office Supplies,Small Box
Medium,26,363.16,Express Air,3.92,Ontario,Corporate,Office Supplies,Small Box
Not Specified,34,772.56,Express Air,143.87,Ontario,Home Office,Office Supplies,Small Box
Low,31,614.35,Express Air,78.89,Ontario,Corporate,Office Supplies,Small Box
